name,url
★ Paracord Knife | Scorched (Minimal Wear),https://buff.163.com/goods/776822?from=market#tab=buying
P2000 | Urban Hazard (Factory New),https://buff.163.com/goods/45286?from=market#tab=buying
StatTrak™ Dual Berettas | Marina (Field-Tested),https://buff.163.com/goods/38471?from=market#tab=buying
SSG 08 | Detour (Factory New),https://buff.163.com/goods/36547?from=market#tab=buying
★ Nomad Knife | Ultraviolet (Well-Worn),https://buff.163.com/goods/1116254?from=market#tab=buying
Souvenir Zeus x27 | Charged Up (Battle-Scarred),https://buff.163.com/goods/1117971?from=market#tab=buying
Paris 2023 Contenders Autograph Capsule,https://buff.163.com/goods/928034?from=market#tab=buying
★ Shadow Daggers | Autotronic (Field-Tested),https://buff.163.com/goods/871942?from=market#tab=buying
★ Stiletto Knife | Fade (Factory New),https://buff.163.com/goods/759572?from=market#tab=buying
StatTrak™ MP7 | Bloodsport (Minimal Wear),https://buff.163.com/goods/45318?from=market#tab=buying
★ Butterfly Knife | Doppler (Factory New),https://buff.163.com/goods/42555?from=market#tab=buying
M4A4 | Urban DDPAT (Field-Tested),https://buff.163.com/goods/35342?from=market#tab=buying
Recoil Case,https://buff.163.com/goods/900464?from=market#tab=buying
M4A4 | Red DDPAT (Minimal Wear),https://buff.163.com/goods/871569?from=market#tab=buying
★ Butterfly Knife | Doppler (Factory New),https://buff.163.com/goods/42555?from=market#tab=buying
M4A4 | Urban DDPAT (Field-Tested),https://buff.163.com/goods/35342?from=market#tab=buying
Recoil Case,https://buff.163.com/goods/900464?from=market#tab=buying
M4A4 | Red DDPAT (Minimal Wear),https://buff.163.com/goods/871569?from=market#tab=buying
★ Gut Knife | Autotronic (Factory New),https://buff.163.com/goods/42781?from=market#tab=buying
★ Bayonet | Doppler (Factory New),https://buff.163.com/goods/42389?from=market#tab=buying
StatTrak™ SSG 08 | Dark Water (Minimal Wear),https://buff.163.com/goods/39549?from=market#tab=buying
★ StatTrak™ Kukri Knife | Scorched (Battle-Scarred),https://buff.163.com/goods/956662?from=market#tab=buying
UMP-45 | Minotaur's Labyrinth (Factory New),https://buff.163.com/goods/42120?from=market#tab=buying
StatTrak™ SCAR-20 | Crimson Web (Minimal Wear),https://buff.163.com/goods/39461?from=market#tab=buying
★ Shadow Daggers | Autotronic (Factory New),https://buff.163.com/goods/872135?from=market#tab=buying
M4A1-S | Master Piece (Factory New),https://buff.163.com/goods/35233?from=market#tab=buying
StatTrak™ MP7 | Skulls (Minimal Wear),https://buff.163.com/goods/39033?from=market#tab=buying
